step,cpu,ram,cos(theta1),sin(theta1),theta_dot1,cos(theta2),sin(theta2),theta_dot2,reward
0,8.9,502.109375,0.9987804,-0.04937253,-0.8913755,-0.4532657,-0.57205975,0.8634902,-1.0
1,9.4,502.1875,0.99034613,-0.13861631,-0.7987523,-0.60166,-0.3054435,0.88265723,-1.0
2,35.1,502.15625,0.9861466,-0.16587606,-0.67929244,-0.73386765,0.03246312,0.91277516,-1.0
3,12.5,502.171875,0.98979557,-0.14249465,-0.48703396,-0.87338305,0.1824031,1.5077143,-1.0
4,9.4,502.171875,0.99423414,-0.10723081,-0.12207347,-0.99252105,0.12614515,2.4214892,-1.0
5,8.9,502.171875,0.99337053,-0.11495625,0.47045523,-0.8824239,-0.25543386,3.7650652,-1.0
6,12.3,502.171875,0.9767727,-0.21427788,0.9828663,-0.18432008,-0.676254,5.033453,-1.0
7,9.3,502.1875,0.9509833,-0.30924222,0.7009618,0.7131988,-0.14452034,4.4379086,-1.0
8,0.0,502.203125,0.9706914,-0.2403295,0.046240464,0.99893034,0.83699095,2.8599846,-1.0
9,9.2,502.203125,0.9999436,-0.0106181465,-0.38299066,0.9237522,1.385425,1.6306839,-1.0
10,9.7,502.203125,0.9635322,0.2675923,-0.60660946,0.79499996,1.341196,1.0748035,-1.0
11,10.3,502.203125,0.87941235,0.4760608,-0.7632653,0.6460852,0.8578803,1.1900818,-1.0
12,9.2,502.203125,0.82584214,0.56390136,-0.91713,0.3985882,0.1518248,1.7984549,-1.0
13,8.7,502.203125,0.85021526,0.5264352,-0.9993344,-0.03647947,-0.592316,2.7071013,-1.0
14,9.7,502.203125,0.9330547,0.3597346,-0.77146876,-0.6362672,-1.2579631,3.8802054,-1.0
15,9.2,502.203125,0.9986615,0.051721565,0.049511623,-0.9987736,-1.9253582,5.5343733,-1.0
16,10.2,502.203125,0.91898626,-0.39428955,0.9779572,-0.20880553,-2.5106812,7.34783,-1.0
17,9.8,502.203125,0.6845901,-0.72892827,0.39469853,0.91881067,-1.3362242,5.9389496,-1.0
18,10.4,502.203125,0.6168446,-0.787085,-0.53567046,0.8444271,0.41096967,3.8482695,-1.0
19,9.0,502.203125,0.774511,-0.63256043,-0.92035055,0.39109442,1.6959512,2.2908247,-1.0
20,0.0,502.203125,0.96621317,-0.25774437,-0.9970164,0.07719064,2.4341152,1.1105332,-1.0
21,10.0,502.21875,0.9704223,0.24141365,-0.9940207,-0.109191746,2.500066,0.92910963,-1.0
22,10.9,502.21875,0.7758679,0.63089544,-0.92151,-0.38835463,1.776895,2.116403,-1.0
23,10.0,502.21875,0.61560404,0.7880556,-0.53353906,-0.8457754,0.34958875,4.0932207,-1.0
24,9.9,502.21875,0.7117767,0.7024058,0.49327555,-0.8698731,-1.6930952,6.828464,-1.0
25,9.8,502.21875,0.9605738,0.27802506,0.85594577,0.5170656,-2.8509214,8.415768,-1.0
26,8.0,502.21875,0.97931844,-0.20232499,-0.44642416,0.89482147,-1.9284831,6.4425898,-1.0
27,10.5,502.21875,0.87256217,-0.4885031,-0.99822986,-0.05947398,-1.2071295,5.425236,-1.0
28,9.4,502.21875,0.7535743,-0.65736276,-0.4275141,-0.9040087,-0.9450469,5.439755,-1.0
29,10.3,502.21875,0.6065556,-0.7950411,0.6694586,-0.74284935,-1.0980455,6.4231954,-1.0
30,9.5,502.21875,0.45336828,-0.89132327,0.88383126,0.46780586,-0.39712754,6.324848,-1.0
31,9.4,502.21875,0.57636887,-0.81718963,0.06481158,0.9978975,1.9224172,3.6769872,-1.0
32,9.3,502.21875,0.93285686,-0.36024725,-0.36698014,0.93022877,3.7475114,0.79193,-1.0
33,9.7,502.21875,0.9061117,0.42303845,-0.30631202,0.9519312,4.0562706,-1.2181864,-1.0
34,10.0,502.21875,0.38769653,0.9217871,0.0087859705,0.9999614,3.1738908,-1.7273748,-1.0
35,10.4,502.21875,-0.1087693,0.994067,0.28615153,0.95818436,1.8731152,-0.9201908,0.0
