step,cpu,ram,cos(theta1),sin(theta1),theta_dot1,cos(theta2),sin(theta2),theta_dot2,reward
0,8.2,278.703125,0.9444218,0.32873616,-0.9088449,-0.41713426,-1.07585,0.8411852,-1.0
1,6.7,281.1875,0.99591786,0.09026448,-0.76930994,-0.6388757,-1.3176274,1.7636074,-1.0
2,12.2,281.1875,0.9853277,-0.17067297,-0.42828807,-0.90364224,-1.2635332,2.5774426,-1.0
3,10.0,281.203125,0.91840494,-0.39564174,0.15186612,-0.98840106,-1.0882442,3.3824425,-1.0
4,6.2,281.203125,0.81990045,-0.57250607,0.79154456,-0.61111146,-0.93164176,4.1987877,-1.0
5,42.7,281.203125,0.72753596,-0.68606955,0.97760767,0.2104359,-0.42247322,4.2750225,-1.0
6,29.4,281.21875,0.74646616,-0.6654234,0.5789701,0.8153488,0.7705052,2.9753327,-1.0
7,13.5,281.21875,0.90142024,-0.43294525,0.19943585,0.9799109,1.9670786,1.1784258,-1.0
8,7.2,281.46875,0.9997644,0.02170735,0.15555172,0.9878278,2.5872145,-0.6406087,-1.0
9,6.7,281.453125,0.8626551,0.5057926,0.39342952,0.9193548,2.379867,-1.6876487,-1.0
10,6.5,281.46875,0.58442354,0.81144875,0.7150581,0.699065,1.7194053,-2.102594,-1.0
11,6.8,281.46875,0.36150622,0.9323697,0.93305284,0.3597394,0.7975986,-1.8881555,-1.0
12,6.2,281.46875,0.3062687,0.9519451,0.99936694,0.03557705,-0.2199932,-1.4117303,-1.0
13,6.2,281.46875,0.46758172,0.8839498,0.9929029,-0.118927844,-1.524822,-0.12628229,-1.0
14,6.4,281.46875,0.78947896,0.61377764,0.9998236,-0.018785102,-2.649067,1.0733216,-1.0
15,7.4,281.46875,0.9978867,0.06497734,0.9666318,0.25616977,-3.1748068,1.5195001,-1.0
16,9.3,281.46875,0.8538916,-0.52045083,0.8753082,0.48356545,-2.8137774,0.787673,-1.0
17,0.0,281.46875,0.5473126,-0.83692825,0.8880117,0.45982087,-1.5678074,-1.046621,-1.0
18,8.5,281.46875,0.3944796,-0.9189047,0.994366,0.10600133,-0.18010047,-2.598835,-1.0
19,6.9,281.46875,0.4732276,-0.8809402,0.86384976,-0.50374955,1.004969,-3.6412685,-1.0
20,5.9,281.46875,0.7078494,-0.7063634,0.26362425,-0.9646254,1.8893635,-4.0128374,-1.0
21,12.4,281.46875,0.94466835,-0.32802707,-0.5018999,-0.8649257,2.57607,-3.842009,-1.0
22,5.9,281.46875,0.97621,0.21682717,-0.9490121,-0.31523973,2.8412337,-3.3768601,-1.0
23,6.2,281.65625,0.73364776,0.67952996,-0.954774,0.29733244,2.3231354,-2.8420744,-1.0
24,6.0,281.65625,0.44089538,0.8975585,-0.6923544,0.7215576,1.3056525,-2.1663682,-1.0
25,15.0,281.65625,0.31687862,0.9484661,-0.4424902,0.89677334,0.027604928,-0.87532127,-1.0
26,8.2,281.65625,0.43137065,0.9021748,-0.40010518,0.9164692,-1.2558593,0.36393827,-1.0
27,14.6,281.65625,0.72869885,0.6848343,-0.5403771,0.841423,-2.4057584,1.1105359,-1.0
28,8.4,281.65625,0.9816769,0.19055314,-0.7162894,0.6978033,-3.1129482,1.0107305,-1.0
29,0.0,281.03125,0.9068306,-0.4214953,-0.7928006,0.6094811,-3.0061214,0.026714291,-1.0
30,11.6,281.03125,0.5796089,-0.8148948,-0.69355184,0.7204067,-2.0423913,-1.5912555,-1.0
31,6.9,281.03125,0.35306272,-0.9355997,-0.25949812,0.9657436,-0.45534146,-3.466208,-1.0
