step,cpu,ram,cos(theta1),sin(theta1),theta_dot1,cos(theta2),sin(theta2),theta_dot2,reward
0,7.9,480.71875,0.94703245,0.32113785,0.15932782,0.9872257,0.64139545,-0.7411919,-1.0
1,7.7,481.71875,0.91976386,0.3924722,0.31011918,0.9506977,0.113408834,-0.7930335,-1.0
2,7.0,481.71875,0.92305684,0.38466355,0.5077323,0.86151487,-0.17740688,-1.3991768,-1.0
3,14.1,481.71875,0.94141054,0.33726287,0.7741591,0.6329911,-0.30217618,-2.1458955,-1.0
4,7.4,481.71875,0.9607763,0.27732447,0.98298794,0.18367004,-0.33598077,-2.795576,-1.0
5,7.7,481.71875,0.9834637,0.18110523,0.9395853,-0.34231484,-0.6876463,-2.4166944,-1.0
6,6.7,481.734375,0.99992764,0.012031435,0.71510655,-0.69901544,-1.0003988,-1.7761337,-1.0
7,6.4,481.75,0.9752827,-0.22096057,0.5412064,-0.84088975,-1.2752787,-0.52620035,-1.0
8,7.2,481.75,0.89742917,-0.4411586,0.50323653,-0.8641487,-1.0027897,0.0065722056,-1.0
9,6.2,481.75,0.8173445,-0.5761493,0.5445307,-0.83874094,-0.53300935,0.4263361,-1.0
10,6.9,481.75,0.78870517,-0.6147716,0.6322247,-0.7747851,0.055672996,0.64890695,-1.0
11,8.0,481.75,0.8407481,-0.54142654,0.70151794,-0.7126518,0.82189626,0.31013846,-1.0
12,7.0,481.75,0.9356542,-0.35291812,0.75750595,-0.6528282,1.2405438,0.5684288,-1.0
13,7.2,481.75,0.9961442,-0.08773106,0.83974004,-0.54298866,1.4277388,0.8496199,-1.0
14,6.9,481.75,0.9849343,0.17292917,0.94692963,-0.321441,1.1451993,1.6094548,-1.0
15,0.0,481.75,0.94015545,0.34074584,0.9963091,0.08583833,0.5989091,2.4368932,-1.0
16,7.6,481.75,0.90673566,0.42169952,0.8410563,0.5409476,0.29141346,2.3412867,-1.0
17,9.2,481.75,0.8941891,0.44768944,0.53524065,0.8446996,-0.015505273,1.9940091,-1.0
18,8.7,481.75,0.9081766,0.41858727,0.2242398,0.974534,-0.32665256,1.4088873,-1.0
19,10.8,482.109375,0.9517394,0.3069075,-0.05136901,0.99867976,-0.8609551,1.3422768,-1.0
20,7.9,482.109375,0.9952647,0.09720165,-0.2909431,0.9567404,-1.247378,1.0466963,-1.0
21,0.0,482.109375,0.98737735,-0.15838568,-0.41242814,0.9109901,-1.2581607,0.1973654,-1.0
22,6.9,482.109375,0.9257533,-0.3781281,-0.36546075,0.9308267,-0.96726817,-0.7574059,-1.0
23,7.2,482.109375,0.8753061,-0.48356923,-0.057469517,0.9983473,-0.1405199,-2.458498,-1.0
24,7.9,482.125,0.90755236,-0.41993892,0.56674623,0.8238924,0.8709815,-4.1583395,-1.0
25,6.2,482.125,0.98517543,-0.17155005,0.99998343,-0.0057575833,1.6026537,-5.3230557,-1.0
26,6.7,482.125,0.99029136,0.13900745,0.5096886,-0.86035895,1.3677402,-4.691889,-1.0
27,0.0,482.125,0.94505495,0.32691157,-0.21953455,-0.9756047,0.58639973,-2.915316,-1.0
28,7.1,482.125,0.92159855,0.38814446,-0.6420951,-0.766625,0.08348679,-1.8789182,-1.0
29,12.7,482.125,0.9358937,0.35228246,-0.810785,-0.58534414,-0.4463827,-0.641013,-1.0
30,6.7,482.125,0.9721161,0.23450008,-0.8344007,-0.5511583,-0.75727797,0.19432105,-1.0
31,7.5,482.125,0.9970317,0.07699202,-0.7834559,-0.6214473,-0.8039409,0.64474833,-1.0
32,8.0,482.125,0.99702835,-0.07703531,-0.65895003,-0.7521867,-0.70707476,1.1426426,-1.0
33,7.6,482.125,0.98224634,-0.18759574,-0.4532681,-0.89137423,-0.39324012,1.3398287,-1.0
34,7.3,482.125,0.9712637,-0.238006,-0.15889728,-0.9872951,-0.13323043,1.7885777,-1.0
35,8.5,482.125,0.96624714,-0.25761685,0.27947152,-0.960154,-0.10711663,2.688081,-1.0
36,13.2,482.125,0.95920396,-0.28271493,0.78498083,-0.61952007,-0.16224726,3.493559,-1.0
37,30.9,482.140625,0.9557654,-0.2941299,0.99928844,0.037717897,0.116682895,3.3886929,-1.0
38,16.4,482.140625,0.9755885,-0.21960674,0.80032104,0.5995717,0.6952618,2.525308,-1.0
39,11.0,482.140625,0.9999245,-0.01228938,0.5475,0.83680564,1.3364562,0.97513866,-1.0
40,6.8,482.21875,0.96112615,0.27610955,0.49220484,0.8704794,1.4982916,-0.2476326,-1.0
41,7.2,482.21875,0.8552439,0.51822567,0.57524276,0.81798273,1.0912932,-0.6498446,-1.0
42,6.7,482.21875,0.7588806,0.65122974,0.7000177,0.7141255,0.525207,-0.92588866,-1.0
43,7.0,482.21875,0.73208195,0.68121654,0.8254894,0.5644176,-0.12293907,-1.0200547,-1.0
44,7.2,482.21875,0.8030525,0.5959083,0.8994906,0.43694007,-0.9670407,-0.47223884,-1.0
45,7.4,482.21875,0.929772,0.3681358,0.9225316,0.38592148,-1.5954049,-0.13964677,-1.0
46,7.4,482.21875,0.9996414,0.026778474,0.93212163,0.36214536,-1.8338065,-0.17862186,-1.0
47,6.8,482.21875,0.9514776,-0.30771813,0.9639758,0.2659899,-1.499289,-0.85729533,-1.0
48,6.7,482.21875,0.8503496,-0.5262181,0.99957186,0.029258778,-0.8897399,-1.5108844,-1.0
49,7.0,482.21875,0.7788634,-0.6271936,0.96009856,-0.27966177,-0.34377772,-1.5788801,-1.0
50,6.2,482.21875,0.78658676,-0.6174798,0.7918402,-0.6107284,0.45604575,-2.1111202,-1.0
51,7.8,482.21875,0.8651823,-0.5014575,0.50078034,-0.8655744,0.934851,-1.7461077,-1.0
52,12.0,482.21875,0.96122366,-0.27577004,0.17800966,-0.98402876,1.4844075,-1.6350749,-1.0
53,7.5,482.21875,0.9988799,0.04731749,-0.096521266,-0.9953309,1.7180978,-1.0410577,-1.0
54,7.2,482.21875,0.9296305,0.36849308,-0.20600365,-0.9785512,1.5037102,-0.0060880533,-1.0
55,7.0,482.21875,0.82046145,0.5717019,-0.05603233,-0.99842894,0.7375457,1.5556688,-1.0
56,7.7,482.21875,0.79664147,0.60445213,0.41313687,-0.91066897,-0.36696944,3.2803135,-1.0
57,6.7,482.21875,0.88966674,0.4566104,0.9383581,-0.34566465,-1.3143114,4.5124373,-1.0
58,7.5,482.21875,0.9844308,0.17577256,0.8493379,0.5278496,-1.5203123,4.2930202,-1.0
59,6.7,482.21875,0.9943774,-0.105894394,0.2532218,0.96740824,-1.2627573,3.209157,-1.0
60,6.9,482.21875,0.9461827,-0.3236329,-0.28174758,0.9594886,-0.9547354,2.201271,-1.0
61,6.7,482.21875,0.8865526,-0.4626278,-0.58545554,0.8107045,-0.5424673,1.2011945,-1.0
62,6.8,482.21875,0.8641258,-0.5032759,-0.6633164,0.74833906,0.083024755,-0.19921654,-1.0
63,7.4,482.21875,0.89813757,-0.4397146,-0.5365817,0.84384835,0.62905777,-1.3931255,-1.0
64,7.2,482.21875,0.9629248,-0.26977006,-0.14152914,0.9899341,1.1840818,-2.8717635,-1.0
65,6.8,482.21875,0.9999949,-0.0031984693,0.5133921,0.8581542,1.4916396,-3.9160936,-1.0
66,6.5,482.21875,0.9508227,0.30973572,0.98847866,0.15136014,1.5892694,-4.6788654,-1.0
67,7.0,482.21875,0.8406638,0.54155743,0.7531643,-0.6578325,0.86503863,-3.7808135,-1.0
68,7.2,482.21875,0.8038547,0.5948257,0.2541046,-0.96717674,-0.21964625,-2.1533682,-1.0
69,6.7,482.21875,0.8753607,0.48347035,-0.036321096,-0.9993402,-1.0607892,-0.7923172,-1.0
70,7.0,482.21875,0.9720333,0.23484308,-0.07065819,-0.9975006,-1.5445855,0.40684178,-1.0
71,7.0,482.21875,0.9958447,-0.091067314,0.12826483,-0.9917399,-1.6662085,1.521981,-1.0
72,9.2,482.21875,0.9155692,-0.40216056,0.5108961,-0.8596425,-1.5138206,2.4866138,-1.0
73,7.0,482.21875,0.79187894,-0.6106781,0.85721695,-0.51495546,-0.87261754,2.3505306,-1.0
74,7.2,482.21875,0.7337085,-0.6794644,0.9913613,-0.13115941,-0.0011107447,1.6726469,-1.0
75,6.7,482.21875,0.77884364,-0.6272181,0.9845843,0.17491084,0.69670004,1.3558078,-1.0
76,6.7,482.21875,0.89163744,-0.45275006,0.92367965,0.3831657,1.3646857,0.78809863,-1.0
77,7.0,482.21875,0.99243337,-0.12278431,0.9128544,0.40828535,2.0322511,-0.47709125,-1.0
78,7.4,482.21875,0.9571102,0.28972414,0.96431535,0.26475626,2.0434158,-0.9423288,-1.0
79,7.4,482.21875,0.78361374,0.62124836,0.99840117,0.056525394,1.6425705,-1.0671842,-1.0
80,6.9,482.21875,0.6009366,0.7992967,0.9922008,-0.1246498,0.87449735,-0.69523615,-1.0
81,7.0,482.21875,0.54296523,0.8397552,0.98470384,-0.17423633,-0.17576304,0.20175864,-1.0
82,6.7,482.21875,0.6642884,0.74747634,0.9999276,-0.0120322555,-1.3278788,1.3986121,-1.0
83,9.5,482.21875,0.8852639,0.46508902,0.93749636,0.3479951,-2.205041,2.14967,-1.0
84,7.7,482.21875,0.9996419,0.026760453,0.755761,0.6548475,-2.2636034,1.288693,-1.0
85,7.0,482.21875,0.91957086,-0.39292422,0.634336,0.77305746,-1.9469498,0.3230609,-1.0
86,7.3,482.21875,0.7681726,-0.6402428,0.7214612,0.6924549,-0.90351397,-1.5105451,-1.0
87,7.1,482.21875,0.7117213,-0.70246196,0.93705976,0.34916905,0.050745632,-2.4986105,-1.0
88,7.0,482.21875,0.7883391,-0.615241,0.9655567,-0.26019272,1.0485766,-3.5622993,-1.0
89,7.0,482.21875,0.91516143,-0.4030876,0.59242195,-0.8056278,1.3798282,-3.0602376,-1.0
90,6.9,482.21875,0.99234146,-0.123525076,0.1123996,-0.9936631,1.5014064,-2.1046133,-1.0
91,7.6,482.21875,0.98553914,0.16944791,-0.18919069,-0.9819404,1.3895485,-0.8828214,-1.0
92,6.5,482.21875,0.9146418,0.40426525,-0.24405852,-0.96976054,1.0087126,0.3611,-1.0
93,6.9,482.21875,0.852509,0.5227125,-0.031405304,-0.9995067,0.2796818,1.8208678,-1.0
94,7.4,482.21875,0.8667465,0.498749,0.44928858,-0.89338666,-0.57200056,3.155607,-1.0
95,14.7,482.21875,0.9468286,0.32173842,0.9377862,-0.34721315,-1.308823,4.2214003,-1.0
96,16.4,482.21875,0.999766,0.021632304,0.8506376,0.5257524,-1.6031421,4.5611324,-1.0
97,7.4,482.21875,0.9652516,-0.26132226,0.19731915,0.9803393,-1.2012823,3.5253823,-1.0
98,7.5,482.21875,0.90331703,-0.42897356,-0.3555332,0.93466365,-0.59100807,2.1217327,-1.0
99,6.5,482.21875,0.8797832,-0.4753751,-0.595905,0.8030549,0.061459877,0.65061253,-1.0
100,8.3,482.265625,0.90880483,-0.41722143,-0.60612667,0.79536813,0.5719663,-0.51115876,-1.0
101,7.7,482.265625,0.96225584,-0.27214643,-0.42382717,0.90574306,0.95019287,-1.6170219,-1.0
102,6.9,482.265625,0.9976495,-0.068523996,-0.029800529,0.9995559,1.0963643,-2.4504209,-1.0
103,7.7,482.265625,0.98647,0.16394186,0.5334452,0.8458346,1.2212162,-3.452943,-1.0
104,7.2,482.265625,0.92335945,0.38393655,0.9612724,0.27560002,1.0028938,-3.687329,-1.0
105,0.0,482.265625,0.850285,0.52632254,0.89850104,-0.43897137,0.50645536,-3.4514055,-1.0
106,7.1,482.265625,0.84319043,0.537615,0.5079003,-0.86141586,-0.39758825,-2.3029177,-1.0
107,7.6,482.265625,0.92758524,0.37361154,0.25851524,-0.9660072,-1.3867811,-0.43098393,-1.0
108,8.7,482.265625,0.99897456,0.045275178,0.33812618,-0.9411008,-1.9042044,1.2086599,-1.0
109,10.7,482.265625,0.94784456,-0.31873286,0.61018825,-0.7922565,-1.7160912,1.7991786,-1.0
110,6.9,482.265625,0.8109349,-0.5851364,0.86706054,-0.49820277,-1.2343903,2.0250223,-1.0
111,0.0,482.265625,0.70681596,-0.7073975,0.9842214,-0.1769412,-0.33929127,1.337078,-1.0
112,8.9,482.265625,0.71081895,-0.70337504,0.9979799,0.06353105,0.40216738,1.0465498,-1.0
113,7.0,482.265625,0.81801575,-0.57519585,0.9808065,0.19498353,1.2509576,0.27239746,-1.0
114,7.7,482.265625,0.9568075,-0.29072213,0.9843489,0.17623055,1.8694974,-0.42325905,-1.0
115,6.7,482.265625,0.99459624,0.103818424,0.9984856,0.055013068,2.0332751,-0.70728976,-1.0
116,7.2,482.265625,0.8921915,0.45165724,0.9995085,-0.03134931,1.5382936,-0.08338568,-1.0
117,7.2,482.265625,0.76735103,0.64122725,0.9991761,0.04058467,0.7021039,0.8171888,-1.0
118,7.2,482.265625,0.73644733,0.6764949,0.95753527,0.28831616,-0.23063739,1.6710579,-1.0
119,0.0,482.265625,0.81202716,0.5836196,0.7925623,0.609791,-0.9436312,1.9029082,-1.0
120,7.4,482.265625,0.92492944,0.38013887,0.5448421,0.83853865,-1.3520648,1.4161357,-1.0
121,6.7,482.265625,0.9958458,0.091056,0.34396294,0.9389832,-1.572996,0.7501982,-1.0
122,6.9,482.265625,0.97592604,-0.21810172,0.2782819,0.96049947,-1.4607284,-0.12911418,-1.0
123,7.4,482.28125,0.8997698,-0.43636495,0.43648735,0.8997104,-0.789076,-1.5983232,-1.0
124,6.7,482.296875,0.8757018,-0.48285237,0.8162853,0.57764894,0.28187448,-3.4078991,-1.0
125,6.7,482.296875,0.937561,-0.34782088,0.98001415,-0.1989279,1.0952544,-4.5261927,-1.0
126,7.2,482.296875,0.9926111,-0.121339016,0.46978945,-0.8827785,1.1482933,-4.1008835,-1.0
127,6.8,482.296875,0.99679977,0.079939015,-0.21403018,-0.976827,0.87207747,-2.960722,-1.0
128,7.4,482.296875,0.9722055,0.2341292,-0.6656164,-0.7462941,0.68380785,-2.1852272,-1.0
129,6.5,482.296875,0.9400735,0.34097195,-0.8896966,-0.4565523,0.41581506,-1.5143164,-1.0
130,7.0,482.296875,0.9247959,0.3804636,-0.9686676,-0.24836066,-0.0012886412,-0.73253864,-1.0
131,7.2,482.296875,0.9424165,0.33444157,-0.98111403,-0.1934304,-0.4819192,0.15174335,-1.0
132,7.4,482.296875,0.97773814,0.2098287,-0.95974874,-0.28085998,-0.7855111,0.7285237,-1.0
133,7.2,482.296875,0.9988925,0.047051683,-0.8969806,-0.44206995,-0.8201693,0.98286563,-1.0
134,7.4,482.296875,0.99352545,-0.11360973,-0.75811946,-0.6521157,-0.7568777,1.5310237,-1.0
135,7.3,482.296875,0.97163224,-0.23649697,-0.4995588,-0.86627996,-0.47835863,1.84644,-1.0
136,8.4,482.296875,0.9562919,-0.29241377,-0.13859536,-0.9903491,-0.11061889,2.0149157,-1.0
137,6.9,482.296875,0.9579211,-0.2870318,0.29068968,-0.9568174,0.13869388,2.359248,-1.0
138,7.2,482.296875,0.9651843,-0.2615708,0.74803877,-0.66365504,0.10297274,3.1489425,-1.0
139,6.7,482.296875,0.9700596,-0.24286714,0.9991622,-0.040926185,0.1474736,3.5482452,-1.0
140,6.5,482.296875,0.9853046,-0.17080656,0.8195256,0.5730426,0.64446807,2.7986221,-1.0
141,7.1,482.296875,0.99988645,0.015069045,0.5028155,0.8643938,1.1776189,1.5356677,-1.0
142,7.0,482.296875,0.9663273,0.25731605,0.29498732,0.9555012,1.1994876,0.80669194,-1.0
143,8.2,482.296875,0.8895197,0.45689684,0.1963646,0.980531,0.878627,0.29298532,-1.0
144,7.4,482.296875,0.83502233,0.550216,0.12761502,0.9918238,0.17401178,0.4488085,-1.0
145,7.0,482.296875,0.8489428,0.5284847,0.060701832,0.99815595,-0.43155304,0.22067192,-1.0
146,6.9,482.296875,0.9216221,0.38808852,0.0011328148,0.99999934,-1.1172193,0.31917626,-1.0
147,7.2,482.296875,0.991507,0.13005358,-0.035883404,0.999356,-1.4969509,-0.037594043,-1.0
148,7.4,482.296875,0.9860409,-0.1665034,0.053549413,0.9985652,-1.3918014,-0.9406779,-1.0
149,7.0,482.296875,0.9286929,-0.37084967,0.38446853,0.9231381,-0.6554545,-2.5176723,-1.0
150,6.7,482.296875,0.9222364,-0.3866265,0.8896228,0.456696,0.4769623,-4.439446,-1.0
151,6.5,482.296875,0.9701409,-0.24254203,0.8883948,-0.45908028,0.8815423,-4.7536626,-1.0
152,7.8,482.296875,0.9954887,-0.094879955,0.24090743,-0.9705481,0.58284557,-3.6751473,-1.0
153,6.5,482.296875,0.9999092,-0.013472779,-0.3529452,-0.935644,0.27149975,-2.4267597,-1.0
154,7.9,482.296875,0.9992165,0.039577976,-0.7119929,-0.70218664,0.26900265,-1.9242156,-1.0
155,7.5,482.296875,0.99553496,0.09439378,-0.9096177,-0.41544628,0.27390546,-1.602461,-1.0
156,7.7,482.296875,0.99039155,0.13829164,-0.9890631,-0.14749303,0.1566525,-1.224254,-1.0
157,6.7,482.296875,0.98745835,0.15787962,-0.9960336,0.08897759,0.032491986,-1.170081,-1.0
158,6.9,482.296875,0.9897061,0.14311484,-0.95212966,0.3056945,-0.18212299,-1.0762017,-1.0
159,6.7,482.375,0.99613124,0.08787808,-0.86091125,0.5087552,-0.36143288,-1.1971544,-1.0
160,7.1,482.375,0.99999994,0.00040031265,-0.7046702,0.709535,-0.48884395,-1.40814,-1.0
161,7.0,482.375,0.99559575,-0.09375017,-0.43492898,0.9004648,-0.41270468,-1.9749616,-1.0
162,6.9,482.375,0.98942566,-0.14504087,0.0337498,0.9994303,-0.05629241,-2.9212937,-1.0
163,8.3,482.375,0.99491477,-0.100720435,0.67103815,0.74142283,0.509549,-4.0885196,-1.0
164,6.4,482.375,0.9988006,0.04896376,0.9965082,-0.08349533,0.85749817,-4.834822,-1.0
165,7.0,482.375,0.9848262,0.17354356,0.56984544,-0.8217519,0.30072322,-3.771872,-1.0
166,6.6,482.375,0.98536074,0.17048241,-0.025748136,-0.9996685,-0.30590084,-2.5634105,-1.0
167,7.2,482.375,0.9979041,0.064710006,-0.40432963,-0.9146133,-0.696321,-1.4117192,-1.0
168,6.9,482.375,0.9970952,-0.07616496,-0.5974617,-0.80189747,-0.66600806,-0.8924448,-1.0
169,7.5,482.375,0.9816767,-0.19055396,-0.70020264,-0.71394414,-0.45550212,-0.51171315,-1.0
170,11.2,482.390625,0.96929216,-0.24591194,-0.7584672,-0.6517112,-0.09735813,-0.36795938,-1.0
171,7.7,482.390625,0.97405386,-0.22631623,-0.8007912,-0.59894365,0.29535505,-0.31014717,-1.0
172,7.2,482.390625,0.99088585,-0.13470414,-0.83098143,-0.55630016,0.61651367,-0.19148836,-1.0
173,7.4,482.390625,0.99999934,0.001163916,-0.82645196,-0.5630073,0.7146328,0.31078768,-1.0
174,6.9,482.390625,0.9888298,0.14904928,-0.7700659,-0.63796437,0.73465693,0.6759443,-1.0
