step,cpu,ram,state_cart_pos,state_cart_vel,state_pole_angle,state_pole_vel,reward
0,25.9,261.8125,0.11685779,0.5090412,-0.08380542,0.94451064,1.0
1,9.8,262.15625,0.12703861,0.705186,-0.06491521,0.6267161,1.0
2,16.0,255.671875,0.14114234,0.9011511,-0.05238089,0.31431586,1.0
3,12.4,255.734375,0.15916535,1.0969785,-0.04609457,0.005584589,1.0
4,18.5,255.765625,0.18110493,0.90254694,-0.04598288,0.28337523,1.0
5,19.7,252.640625,0.19915587,1.0982935,-0.040315375,-0.023448534,1.0
6,0.0,234.71875,0.22112174,0.9037723,-0.040784344,0.2562468,1.0
7,22.8,220.421875,0.2391972,1.0994521,-0.03565941,-0.049016073,1.0
8,22.1,212.015625,0.26118624,0.9048591,-0.03663973,0.23220617,1.0
9,12.1,212.015625,0.2792834,1.100485,-0.03199561,-0.07180528,1.0
10,9.1,212.046875,0.3012931,0.9058359,-0.033431713,0.21061365,1.0
11,8.7,212.34375,0.31940982,1.1014196,-0.029219441,-0.09242493,1.0
12,7.6,212.375,0.34143823,0.9067283,-0.03106794,0.19089796,1.0
13,5.3,212.4375,0.3595728,1.1022806,-0.02724998,-0.111421466,1.0
14,13.7,212.5625,0.3816184,0.9075596,-0.029478408,0.17254123,1.0
15,8.3,212.625,0.3997696,1.1030908,-0.026027584,-0.12929352,1.0
16,5.3,212.65625,0.4218314,0.9083511,-0.028613456,0.15506573,1.0
17,5.0,212.703125,0.43999842,1.1038709,-0.02551214,-0.14650498,1.0
18,12.7,212.8125,0.46207586,0.90912336,-0.02844224,0.13802142,1.0
19,2.7,212.875,0.48025832,1.1046408,-0.025681812,-0.16349715,1.0
20,7.7,212.9375,0.5023511,0.90989584,-0.028951755,0.1209745,1.0
21,9.8,212.953125,0.52054906,1.1054204,-0.026532264,-0.1807,1.0
22,0.0,212.984375,0.54265743,0.9106879,-0.030146265,0.10349627,1.0
23,6.2,213.0,0.5608712,1.1062286,-0.02807634,-0.19854319,1.0
24,4.0,213.046875,0.5829958,1.3017406,-0.032047205,-0.49994904,1.0
25,5.9,213.09375,0.6090306,1.1070848,-0.042046186,-0.21753545,1.0
26,8.1,213.125,0.6311723,0.91258836,-0.046396893,0.061593454,1.0
27,12.9,213.140625,0.6494241,1.1083437,-0.045165025,-0.24535947,1.0
