step,cpu,ram,state_cart_pos,state_cart_vel,state_pole_angle,state_pole_vel,reward
0,6.7,287.328125,-0.047783606,-0.24354416,-0.043094877,0.3059192,1.0
1,1.8,288.46875,-0.05265449,-0.04783544,-0.036976494,-3.729063e-05,1.0
2,5.4,288.484375,-0.0536112,-0.24240813,-0.03697724,0.2807536,1.0
3,1.7,288.5,-0.05845936,-0.04677875,-0.03136217,-0.023358675,1.0
4,3.4,288.5,-0.059394937,-0.24143723,-0.031829342,0.2592665,1.0
5,3.2,288.546875,-0.064223684,-0.045875687,-0.02664401,-0.04328349,1.0
6,2.5,288.640625,-0.06514119,-0.24060564,-0.02750968,0.24087536,1.0
7,2.7,288.640625,-0.06995331,-0.04510174,-0.022692174,-0.060356364,1.0
8,2.5,288.640625,-0.07085534,-0.23989111,-0.0238993,0.22508153,1.0
9,2.7,288.640625,-0.075653166,-0.04443588,-0.01939767,-0.0750433,1.0
10,2.5,288.671875,-0.076541886,-0.23927446,-0.020898536,0.21145701,1.0
11,2.5,288.671875,-0.08132737,-0.043860033,-0.016669396,-0.08774433,1.0
12,2.2,288.671875,-0.08220457,-0.23873913,-0.018424282,0.19963312,1.0
13,2.1,288.671875,-0.08697935,-0.04335857,-0.014431619,-0.0988044,1.0
14,2.8,288.671875,-0.087846525,-0.23827074,-0.016407708,0.18929067,1.0
15,2.4,288.65625,-0.09261194,-0.042917952,-0.012621894,-0.10852273,1.0
16,2.5,288.65625,-0.0934703,0.15238258,-0.014792348,-0.40516093,1.0
17,3.0,288.65625,-0.090422645,-0.042526513,-0.022895567,-0.11717807,1.0
18,1.7,288.65625,-0.09127318,-0.23731306,-0.025239129,0.16819446,1.0
19,4.2,288.65625,-0.09601944,-0.43206483,-0.02187524,0.45280954,1.0
20,3.2,288.65625,-0.104660735,-0.23664047,-0.012819048,0.15331234,1.0
21,3.2,288.65625,-0.109393544,-0.04133733,-0.009752802,-0.14338699,1.0
22,1.5,288.65625,-0.11022029,-0.23631826,-0.012620541,0.14620322,1.0
23,4.0,288.65625,-0.114946656,-0.041017868,-0.009696477,-0.15043437,1.0
24,2.5,288.65625,-0.11576702,-0.23599964,-0.012705164,0.1391738,1.0
25,2.7,288.671875,-0.120487005,-0.43093735,-0.009921689,0.42782155,1.0
26,2.9,288.671875,-0.12910576,-0.23567627,-0.0013652575,0.13202745,1.0
27,3.0,288.671875,-0.13381928,-0.040534798,0.0012752913,-0.16108589,1.0
