step,cpu,ram,state_cart_pos,state_cart_vel,state_pole_angle,state_pole_vel,reward
0,0.0,562.484375,0.09636148,-0.1812677,-0.055213775,0.64761466,1.0
1,7.7,563.0625,0.09273613,-0.3755787,-0.04226148,0.9224124,1.0
2,8.6,563.0625,0.085224554,-0.179912,-0.023813235,0.6167532,1.0
3,11.7,563.0625,0.08162632,0.015534396,-0.011478171,0.3166663,1.0
4,7.0,563.0625,0.081937,0.21081795,-0.0051448448,0.020385789,1.0
5,6.4,563.0625,0.086153366,0.4060133,-0.004737129,-0.27391595,1.0
6,11.9,563.0625,0.09427363,0.6012025,-0.010215448,-0.5680892,1.0
7,6.5,563.0625,0.10629768,0.40622532,-0.021577232,-0.27864197,1.0
8,7.1,563.0625,0.11442219,0.60164833,-0.027150072,-0.57805145,1.0
9,6.7,563.0625,0.12645516,0.4069172,-0.0387111,-0.29404357,1.0
10,6.2,563.0625,0.1345935,0.6025691,-0.044591974,-0.5986797,1.0
11,6.0,563.0625,0.14664488,0.4080985,-0.056565568,-0.3203695,1.0
12,8.4,563.0625,0.15480685,0.60397846,-0.062972955,-0.63034093,1.0
13,6.2,563.0625,0.16688642,0.79991996,-0.07557978,-0.94217247,1.0
14,6.9,563.0625,0.18288481,0.99597454,-0.09442323,-1.2576141,1.0
15,6.4,563.0625,0.20280431,0.80217934,-0.11957551,-0.9959353,1.0
16,6.7,563.0625,0.2188479,0.60884184,-0.13949421,-0.7430714,1.0
17,6.6,563.0625,0.23102473,0.41589263,-0.15435565,-0.49733734,1.0
18,0.0,563.0625,0.23934259,0.22324544,-0.1643024,-0.2570028,1.0
19,6.9,563.0625,0.2438075,0.03080383,-0.16944245,-0.020315725,1.0
20,5.5,563.0625,0.24442357,-0.16153418,-0.16984876,0.21448152,1.0
21,7.0,563.0625,0.24119289,-0.3538723,-0.16555913,0.44914138,1.0
22,6.9,563.0625,0.23411544,-0.54631305,-0.1565763,0.6854031,1.0
23,6.2,563.0625,0.22318918,-0.3494039,-0.14286824,0.34780702,1.0
24,0.0,563.0625,0.2162011,-0.15256955,-0.1359121,0.013703115,1.0
25,7.1,563.078125,0.21314971,0.044213302,-0.13563803,-0.31858435,1.0
26,5.7,563.078125,0.21403398,0.24098007,-0.14200972,-0.65077907,1.0
27,6.2,563.078125,0.21885358,0.048091725,-0.1550253,-0.40596977,1.0
28,8.4,563.078125,0.21981542,-0.14453119,-0.1631447,-0.16589549,1.0
29,10.0,563.078125,0.21692479,-0.33698756,-0.16646262,0.071203694,1.0
30,9.1,563.078125,0.21018504,-0.5293804,-0.16503854,0.30708948,1.0
31,9.4,563.078125,0.19959743,-0.72181326,-0.15889674,0.54351526,1.0
32,10.5,563.078125,0.18516116,-0.52485704,-0.14802644,0.2052834,1.0
33,15.0,563.078125,0.17466402,-0.7175863,-0.14392078,0.4478547,1.0
34,9.7,563.078125,0.1603123,-0.520753,-0.13496368,0.11349053,1.0
35,8.6,563.078125,0.14989723,-0.32398126,-0.13269387,-0.21854196,1.0
36,8.1,563.078125,0.14341761,-0.12723671,-0.13706471,-0.54996204,1.0
37,7.8,563.078125,0.14087288,-0.3201942,-0.14806394,-0.3034113,1.0
38,7.7,563.078125,0.13446899,-0.5129299,-0.15413217,-0.06084285,1.0
39,8.4,563.078125,0.124210395,-0.70554465,-0.15534903,0.1795184,1.0
40,7.9,563.078125,0.1100995,-0.8981418,-0.15175867,0.41944605,1.0
41,12.4,563.078125,0.092136666,-1.0908244,-0.14336975,0.660702,1.0
42,9.4,563.078125,0.07032018,-1.2836909,-0.1301557,0.90502733,1.0
43,7.0,563.078125,0.04464636,-1.0870694,-0.11205516,0.57443184,1.0
44,0.0,563.078125,0.022904972,-0.8905697,-0.10056652,0.24865542,1.0
45,7.0,563.078125,0.0050935782,-1.0841223,-0.09559341,0.5080008,1.0
46,5.9,563.078125,-0.016588869,-0.8877927,-0.08543339,0.18678918,1.0
47,7.0,563.109375,-0.03434472,-1.0815951,-0.08169761,0.45134553,1.0
48,7.2,563.109375,-0.05597662,-1.2754723,-0.0726707,0.717199,1.0
49,6.4,563.109375,-0.08148607,-1.4695172,-0.05832672,0.9861519,1.0
50,7.1,563.109375,-0.11087641,-1.2736647,-0.038603682,0.67573434,1.0
51,6.9,563.109375,-0.13634971,-1.0780282,-0.025088996,0.3711515,1.0
52,0.0,563.125,-0.15791027,-0.88255894,-0.017665965,0.07066453,1.0
53,7.0,563.125,-0.17556144,-1.0774232,-0.016252674,0.35772184,1.0
54,6.9,563.125,-0.19710991,-0.88207406,-0.009098238,0.059958663,1.0
55,6.2,563.125,-0.2147514,-1.0770644,-0.007899065,0.3497572,1.0
56,0.0,563.125,-0.23629268,-1.2720731,-0.0009039208,0.6399389,1.0
57,7.0,563.125,-0.26173416,-1.0769385,0.011894857,0.34697142,1.0
58,7.6,563.125,-0.28327292,-1.2722276,0.018834285,0.64338136,1.0
59,8.6,563.125,-0.30871746,-1.0773731,0.03170191,0.35668847,1.0
60,0.0,563.125,-0.33026493,-1.2729312,0.038835682,0.65919685,1.0
61,9.4,563.125,-0.35572356,-1.0783707,0.05201962,0.37899092,1.0
62,9.8,563.125,-0.37729096,-1.2741913,0.059599437,0.6876114,1.0
63,9.6,563.125,-0.40277478,-1.079945,0.07335167,0.41427115,1.0
64,12.2,563.125,-0.4243737,-1.2760258,0.081637084,0.72914755,1.0
65,12.9,563.125,-0.44989422,-1.0821215,0.09622004,0.46323442,1.0
66,9.3,563.125,-0.47153664,-0.8884817,0.105484724,0.20236325,1.0
67,9.3,563.125,-0.48930627,-0.69501406,0.10953199,-0.0552701,1.0
68,9.1,563.125,-0.50320655,-0.89152217,0.10842659,0.26986375,1.0
69,8.8,563.125,-0.521037,-0.6981011,0.11382387,0.013250903,1.0
70,8.3,563.125,-0.534999,-0.50477993,0.114088885,-0.24146236,1.0
71,8.8,563.125,-0.5450946,-0.7013311,0.109259635,0.084917046,1.0
72,8.0,563.125,-0.55912125,-0.5079311,0.11095798,-0.17139459,1.0
73,8.5,563.125,-0.56927985,-0.70445186,0.10753009,0.1541285,1.0
74,9.1,563.125,-0.5833689,-0.5110207,0.11061265,-0.102789424,1.0
75,7.7,563.125,-0.5935893,-0.31764346,0.10855687,-0.35862872,1.0
76,7.2,563.125,-0.5999422,-0.124218725,0.10138429,-0.6152049,1.0
77,7.1,563.125,-0.6024265,-0.32060018,0.08908019,-0.29238942,1.0
78,7.0,563.125,-0.60883856,-0.12685378,0.0832324,-0.55570173,1.0
79,7.5,563.125,-0.61137563,-0.32303965,0.07211837,-0.23799959,1.0
80,7.4,563.125,-0.6178364,-0.12901811,0.06735838,-0.5070909,1.0
81,6.8,563.125,-0.62041676,-0.32502133,0.057216562,-0.19396447,1.0
82,0.0,563.125,-0.62691724,-0.52091306,0.053337272,0.11620481,1.0
83,7.0,563.125,-0.6373355,-0.32659432,0.05566137,-0.15918508,1.0
84,7.1,563.125,-0.6438674,-0.52246714,0.052477665,0.15052514,1.0
85,6.7,563.125,-0.6543167,-0.71829975,0.05548817,0.45929098,1.0
86,6.9,563.125,-0.6686827,-0.5240043,0.06467399,0.18460147,1.0
87,6.4,563.125,-0.6791628,-0.3298644,0.06836602,-0.08699857,1.0
88,7.7,563.125,-0.6857601,-0.5258964,0.06662605,0.22644638,1.0
89,6.2,563.125,-0.696278,-0.33178672,0.071154974,-0.044498514,1.0
90,9.7,563.125,-0.70291376,-0.527853,0.070265,0.2697587,1.0
91,6.5,563.125,-0.7134708,-0.33380046,0.07566018,3.902353e-05,1.0
92,7.4,563.125,-0.72014683,-0.13984056,0.07566096,-0.26784563,1.0
93,6.8,563.125,-0.7229436,-0.3359562,0.07030404,0.047709286,1.0
