step,cpu,ram,position,velocity,reward
0,15.5,590.875,-0.42606777,0.00028092775,-1.0
1,0.0,590.921875,-0.42750794,-0.0014401622,-1.0
2,8.2,590.921875,-0.43065885,-0.0031509032,-1.0
3,6.6,590.921875,-0.4354978,-0.004838956,-1.0
4,2.5,590.921875,-0.44198984,-0.0064920476,-1.0
5,2.3,590.921875,-0.45008788,-0.008098018,-1.0
6,3.0,590.921875,-0.45973277,-0.009644892,-1.0
7,2.2,590.921875,-0.47085372,-0.011120962,-1.0
8,2.9,590.921875,-0.48336864,-0.0125149,-1.0
9,2.2,590.921875,-0.49718451,-0.013815895,-1.0
10,2.0,590.921875,-0.5121983,-0.015013794,-1.0
11,5.4,590.921875,-0.5282976,-0.016099282,-1.0
12,1.7,590.921875,-0.54536164,-0.01706404,-1.0
13,2.2,590.921875,-0.5632626,-0.017900936,-1.0
14,1.5,590.921875,-0.58186674,-0.01860416,-1.0
15,0.0,590.921875,-0.60103613,-0.019169372,-1.0
16,2.1,590.921875,-0.6206299,-0.019593801,-1.0
17,2.5,590.921875,-0.6405062,-0.019876301,-1.0
18,2.1,590.96875,-0.6605236,-0.020017361,-1.0
19,1.7,590.984375,-0.68054265,-0.020019064,-1.0
20,2.2,590.984375,-0.70042765,-0.019884994,-1.0
21,0.0,590.984375,-0.7200477,-0.019620111,-1.0
22,2.2,590.984375,-0.7392783,-0.019230565,-1.0
23,3.2,591.0,-0.7580018,-0.0187235,-1.0
24,1.7,591.015625,-0.7761086,-0.018106828,-1.0
25,1.7,591.015625,-0.7934976,-0.017389007,-1.0
26,2.5,591.015625,-0.8100765,-0.016578812,-1.0
27,0.0,591.015625,-0.82576156,-0.01568513,-1.0
28,3.1,591.015625,-0.84047836,-0.014716771,-1.0
29,0.0,591.015625,-0.85416067,-0.013682304,-1.0
30,5.6,591.015625,-0.8667506,-0.01258993,-1.0
31,1.7,591.015625,-0.87819797,-0.011447384,-1.0
32,1.2,591.015625,-0.88845986,-0.010261869,-1.0
33,2.5,591.015625,-0.8964999,-0.008040027,-1.0
34,2.0,591.015625,-0.9012911,-0.0047911895,-1.0
35,5.7,591.015625,-0.90281796,-0.0015268879,-1.0
36,2.0,591.015625,-0.9010757,0.0017422441,-1.0
37,1.4,591.046875,-0.8960698,0.0050058607,-1.0
38,1.9,591.046875,-0.88781655,0.008253287,-1.0
39,1.3,591.046875,-0.8763436,0.011472914,-1.0
40,2.6,591.046875,-0.861692,0.014651641,-1.0
41,1.5,591.046875,-0.8439176,0.017774392,-1.0
42,1.5,591.046875,-0.82309383,0.020823741,-1.0
43,3.2,591.046875,-0.79931414,0.023779703,-1.0
44,2.2,591.046875,-0.77269447,0.026619708,-1.0
45,0.0,591.046875,-0.7433756,0.029318837,-1.0
46,2.1,591.046875,-0.7115253,0.031850304,-1.0
47,1.5,591.046875,-0.677339,0.034186266,-1.0
48,1.5,591.046875,-0.64104015,0.03629887,-1.0
49,0.0,591.046875,-0.6028786,0.038161572,-1.0
50,2.3,591.046875,-0.563128,0.03975058,-1.0
51,2.2,591.046875,-0.5220817,0.041046355,-1.0
52,2.2,591.046875,-0.4800467,0.042034976,-1.0
53,2.7,591.046875,-0.4373374,0.042709265,-1.0
54,1.5,591.046875,-0.39426792,0.0430695,-1.0
55,2.7,591.046875,-0.35114422,0.043123674,-1.0
56,1.7,591.046875,-0.30825704,0.0428872,-1.0
57,2.5,591.09375,-0.2658749,0.042382155,-1.0
58,1.0,591.09375,-0.22423875,0.04163613,-1.0
59,2.5,591.09375,-0.18355794,0.040680803,-1.0
60,1.7,591.09375,-0.14400758,0.03955037,-1.0
61,3.4,591.09375,-0.1057275,0.03828007,-1.0
62,1.2,591.09375,-0.06882273,0.036904775,-1.0
63,7.4,591.09375,-0.033364855,0.03545787,-1.0
64,1.5,591.09375,0.00060553366,0.033970386,-1.0
65,7.5,591.09375,0.033075925,0.03247039,-1.0
66,9.3,591.09375,0.06405862,0.030982688,-1.0
67,2.7,591.09375,0.093587324,0.029528711,-1.0
68,0.7,591.09375,0.12171392,0.0281266,-1.0
69,1.7,591.09375,0.14850534,0.026791416,-1.0
70,1.5,591.09375,0.17404078,0.025535446,-1.0
71,1.7,591.09375,0.19840932,0.02436854,-1.0
72,2.4,591.09375,0.2217078,0.023298487,-1.0
73,1.2,591.09375,0.2440392,0.022331385,-1.0
74,1.7,591.09375,0.26551118,0.021471985,-1.0
75,3.9,591.09375,0.28623518,0.020724012,-1.0
76,2.0,591.109375,0.30632567,0.020090466,-1.0
77,2.0,591.125,0.32589954,0.019573882,-1.0
78,1.3,591.125,0.34507608,0.019176552,-1.0
79,0.0,591.125,0.36397684,0.018900728,-1.0
80,2.2,591.125,0.38272563,0.018748796,-1.0
81,0.0,591.125,0.40144902,0.018723417,-1.0
82,2.5,591.125,0.4202767,0.018827662,-1.0
83,0.0,591.125,0.43934178,0.019065095,-1.0
84,1.8,591.125,0.45878166,0.019439876,-1.0
85,1.0,591.125,0.47873846,0.019956805,-1.0
86,2.0,591.125,0.49935985,0.020621367,-1.0
87,1.0,591.125,0.5207996,0.021439735,-1.0
