step,cpu,ram,position,velocity,reward
0,12.4,396.109375,-0.69038707,0.020331483,-0.077287051036652
1,10.2,396.109375,-0.6703562,0.020030847,-0.1
2,19.0,396.171875,-0.6477704,0.022585787,-0.09860173364091339
3,20.9,396.171875,-0.62449485,0.023275562,-0.002153516979730341
4,12.0,396.21875,-0.59921545,0.0252794,-0.07040560064707649
5,11.2,396.328125,-0.57274705,0.026468426,-0.01745855867682309
6,0.0,396.34375,-0.5474113,0.025335703,-0.1
7,11.2,396.34375,-0.5211748,0.026236545,-0.023193860445923066
8,10.9,396.34375,-0.4936906,0.027484188,-0.07121361667268503
9,10.9,396.34375,-0.46632728,0.027363315,-0.00047277788110164923
10,11.2,396.375,-0.43987933,0.026447946,-0.010581708990855887
11,10.6,396.375,-0.41467473,0.0252046,-0.017196504243679557
12,13.2,396.375,-0.3906667,0.024008047,-0.006902342110721805
13,11.0,396.375,-0.36800626,0.022660444,-0.006311172188731007
14,12.1,396.375,-0.34648556,0.021520702,-9.621447942720353e-06
15,11.5,396.375,-0.32691014,0.019575428,-0.020463704213966594
16,11.2,396.375,-0.3088368,0.018073339,-0.0005480844208594959
17,11.6,396.390625,-0.2928944,0.0159424,-0.01760467116996303
18,13.2,396.390625,-0.2782578,0.014636596,-0.003727710450425548
19,12.3,396.390625,-0.26379955,0.014458232,-0.1
20,11.9,396.390625,-0.25210816,0.011691385,-0.045312555003198446
21,12.4,396.390625,-0.24073517,0.011372977,-0.1
22,11.6,395.703125,-0.23113404,0.0096011255,-0.00048091916041812513
23,11.7,395.703125,-0.22330971,0.007824336,-0.0009460829069340093
24,13.9,391.0,-0.21804762,0.005262096,-0.01613767932838215
25,12.3,391.0,-0.21420161,0.0038460104,-0.014330718220486462
26,11.3,391.0,-0.21141109,0.0027905214,-0.03976181420512717
27,11.3,391.0,-0.21010266,0.001308432,-0.012565904838824339
28,0.0,391.0,-0.20931384,0.0007888169,-0.1
29,13.9,391.0,-0.21058875,-0.0012749181,-7.339979867460045e-05
30,11.3,391.0,-0.21404213,-0.0034533762,-0.0011519567772907636
31,11.3,391.0,-0.22099756,-0.0069554364,-0.1
32,10.8,391.0,-0.23142338,-0.010425821,-0.1
33,11.9,391.0,-0.24311946,-0.011696089,-0.018837577723344625
34,11.2,391.0,-0.2574505,-0.0143310325,-0.026415366018569843
35,11.7,391.0,-0.27348638,-0.016035875,-0.0003274685715396686
36,9.8,391.0,-0.29161516,-0.018128775,-0.006697273522491188
37,11.9,391.0,-0.31026527,-0.018650124,-0.051978403946897345
38,9.7,391.015625,-0.32910988,-0.018844616,-0.07493760275512074
39,11.0,391.015625,-0.3492593,-0.020149413,-0.00023363717045867818
40,11.8,391.015625,-0.37215745,-0.022898156,-0.1
41,12.7,391.015625,-0.39515504,-0.0229976,-0.04423979424249325
42,9.7,391.015625,-0.4187589,-0.023603868,-0.004940141454517289
43,11.7,391.015625,-0.44354203,-0.02478315,-0.0073217694041943565
44,11.5,391.03125,-0.47041985,-0.026877819,-0.1
45,17.0,391.03125,-0.49624935,-0.0258295,-0.0928617164176103
