step,cpu,ram,position,velocity,reward
0,0.0,447.484375,0.0071077817,-0.033000078,-0.1
1,2.0,447.78125,-0.029891727,-0.03699951,-0.1
2,11.5,447.78125,-0.07088119,-0.040989462,-0.1
3,1.7,447.78125,-0.112814344,-0.041933153,-0.1
4,2.2,447.84375,-0.15560567,-0.042791333,-0.1
5,1.0,447.84375,-0.19912952,-0.043523848,-0.1
6,1.7,447.84375,-0.2462204,-0.047090866,-0.1
7,1.5,447.84375,-0.2936597,-0.047439292,-0.1
8,1.7,447.84375,-0.34118998,-0.047530282,-0.1
9,1.2,447.84375,-0.39152107,-0.050331082,-0.1
10,1.5,447.84375,-0.44131702,-0.049795948,-0.1
11,1.0,447.859375,-0.49322385,-0.051906813,-0.1
12,1.7,447.859375,-0.54685813,-0.05363431,-0.1
13,0.7,447.859375,-0.5988181,-0.051960006,-0.1
14,2.7,447.859375,-0.6487188,-0.049900636,-0.1
15,3.0,447.859375,-0.6992029,-0.050484117,-0.1
16,1.9,447.859375,-0.74693006,-0.047727168,-0.1
17,2.0,447.859375,-0.79160476,-0.044674713,-0.1
18,0.0,447.859375,-0.8359791,-0.04437434,-0.1
19,1.7,447.859375,-0.87983876,-0.043859668,-0.1
20,1.5,447.859375,-0.920007,-0.040168203,-0.1
21,1.2,447.859375,-0.956355,-0.036348004,-0.1
22,1.0,447.859375,-0.99179524,-0.03544027,-0.1
23,1.5,447.90625,-1.0262699,-0.034474723,-0.1
24,2.0,447.90625,-1.0567496,-0.03047965,-0.1
25,2.2,447.90625,-1.0853657,-0.028616067,-0.017943232957111734
26,1.3,447.90625,-1.1113262,-0.0259606,-0.0013123722313267195
27,1.7,447.90625,-1.136333,-0.025006723,-0.1
28,3.2,447.90625,-1.1574286,-0.021095574,-0.1
29,7.7,447.90625,-1.1752757,-0.017847115,-0.03472462929954077
30,3.2,447.90625,-1.1923051,-0.0170294,-0.1
31,1.5,447.90625,-1.2,0.0,-0.002713442566255253
32,0.0,447.90625,-1.1981143,0.001885713,-0.005638499519820073
33,1.6,447.90625,-1.1938229,0.0042914464,-0.001104108166197193
34,1.2,447.90625,-1.1863978,0.0074250665,-0.0337645330320413
35,1.5,447.90625,-1.1754645,0.010933324,-0.06648725014060944
36,0.0,447.90625,-1.160714,0.014750507,-0.1
37,3.8,447.90625,-1.1424646,0.018249417,-0.0580117026793289
38,1.5,447.90625,-1.1207504,0.021714216,-0.05052460342608925
39,1.7,447.90625,-1.0950968,0.0256536,-0.1
40,0.7,447.90625,-1.065469,0.029627834,-0.1
41,2.0,447.90625,-1.0319414,0.03352761,-0.08755107300117403
42,0.0,447.90625,-0.9944164,0.03752499,-0.1
43,2.0,447.90625,-0.9529227,0.041493714,-0.1
44,0.0,447.90625,-0.9075283,0.04539439,-0.1
45,1.5,447.90625,-0.85835016,0.049178123,-0.1
46,1.7,447.90625,-0.8055626,0.052787527,-0.1
47,2.2,447.90625,-0.74940366,0.056158934,-0.1
48,1.5,447.90625,-0.6901778,0.059225887,-0.1
49,1.7,447.90625,-0.62825394,0.061923873,-0.1
50,1.5,447.90625,-0.564058,0.06419595,-0.1
51,1.3,447.90625,-0.49805936,0.06599865,-0.1
52,1.5,447.90625,-0.43075207,0.06730729,-0.1
53,2.0,447.90625,-0.36263216,0.06811991,-0.1
54,0.0,447.90625,-0.29417312,0.06845904,-0.1
55,2.2,447.90625,-0.2258021,0.06837102,-0.1
56,1.5,447.921875,-0.15787907,0.06792302,-0.1
57,2.2,447.953125,-0.09068084,0.06719823,-0.1
58,1.5,447.953125,-0.024390666,0.06629017,-0.1
59,1.5,447.953125,0.040906195,0.06529686,-0.1
60,1.5,447.953125,0.10522185,0.06431566,-0.1
61,1.7,447.953125,0.16866104,0.06343919,-0.1
62,1.0,447.953125,0.23141348,0.06275245,-0.1
63,2.0,447.96875,0.2937446,0.0623311,-0.1
64,2.0,447.96875,0.3559852,0.0622406,-0.1
65,1.5,447.96875,0.41852102,0.06253581,-0.1
66,2.5,447.96875,0.48178172,0.06326071,99.9
