step,cpu,ram,position,velocity,reward
0,6.6,213.359375,-0.35968423,0.06802085,-1.0
1,3.9,214.71875,-0.2918438,0.06784044,-1.0
2,0.0,214.734375,-0.22460482,0.06723897,-1.0
3,4.3,214.734375,-0.15831947,0.06628535,-1.0
4,0.0,214.890625,-0.0932574,0.06506207,-1.0
5,3.3,214.890625,-0.029598122,0.06365927,-1.0
6,0.0,214.890625,0.032571003,0.062169123,-1.0
7,3.1,214.890625,0.09225205,0.05968105,-1.0
8,2.5,214.90625,0.14852823,0.056276184,-1.0
9,5.8,214.90625,0.20354852,0.055020284,-1.0
10,3.2,214.921875,0.2565206,0.05297209,-1.0
11,2.7,214.921875,0.30669716,0.05017655,-1.0
12,0.0,214.921875,0.35535935,0.048662182,-1.0
13,6.3,214.921875,0.4018126,0.046453282,-1.0
14,4.2,214.921875,0.4463727,0.04456007,-1.0
15,3.0,214.921875,0.48935872,0.042986043,-1.0
16,7.2,214.921875,0.5310884,0.041729692,-1.0
