step,cpu,ram,position,velocity,reward
0,6.9,527.21875,0.21571553,0.027969433,-1.0
1,2.0,527.25,0.24269044,0.026974915,-1.0
2,17.8,527.265625,0.26879922,0.026108766,-1.0
3,0.0,527.265625,0.2941777,0.025378508,-1.0
4,6.2,527.28125,0.31896824,0.024790516,-1.0
5,0.0,527.296875,0.3433186,0.024350384,-1.0
6,6.7,527.296875,0.36738187,0.024063243,-1.0
7,6.2,527.3125,0.3913159,0.023934036,-1.0
8,6.7,527.328125,0.41528365,0.02396775,-1.0
9,6.7,527.328125,0.43945324,0.024169609,-1.0
10,6.5,527.328125,0.46399847,0.024545198,-1.0
11,0.0,527.328125,0.48909903,0.025100574,-1.0
12,6.6,527.328125,0.51494133,0.025842289,-1.0
