step,cpu,ram,position,velocity,reward
0,11.0,284.296875,-1.0846752,0.03185131,-1.0
1,8.0,285.328125,-1.0513396,0.033335526,-1.0
2,11.8,285.328125,-1.0165043,0.034835335,-1.0
3,7.9,285.328125,-0.98017955,0.036324743,-1.0
4,11.4,285.4375,-0.94240516,0.037774384,-1.0
5,14.9,285.4375,-0.9032533,0.03915186,-1.0
6,0.0,285.4375,-0.862831,0.040422358,-1.0
7,7.3,285.4375,-0.8212814,0.041549608,-1.0
8,7.0,285.453125,-0.7787843,0.042497076,-1.0
9,11.8,285.453125,-0.7355549,0.04322942,-1.0
10,10.2,285.453125,-0.69184077,0.04371411,-1.0
11,7.2,285.453125,-0.64791775,0.04392303,-1.0
12,11.7,285.453125,-0.6040838,0.043833956,-1.0
13,7.2,285.453125,-0.560652,0.043431744,-1.0
14,10.5,285.453125,-0.51794297,0.042709075,-1.0
15,6.7,285.453125,-0.4762763,0.041666657,-1.0
16,0.0,285.453125,-0.43596336,0.040312927,-1.0
17,6.5,285.453125,-0.39730015,0.03866321,-1.0
18,0.0,285.453125,-0.3605617,0.03673847,-1.0
19,10.1,285.453125,-0.32599783,0.03456387,-1.0
20,6.0,285.453125,-0.29383066,0.032167148,-1.0
21,5.7,285.453125,-0.26425353,0.029577147,-1.0
22,8.4,285.453125,-0.23743108,0.026822442,-1.0
23,8.4,285.453125,-0.2115008,0.02593028,-1.0
24,0.0,285.453125,-0.18658394,0.024916863,-1.0
25,6.3,285.453125,-0.16278554,0.023798397,-1.0
26,6.7,285.5625,-0.14019491,0.022590633,-1.0
27,6.5,285.5625,-0.1198864,0.020308508,-1.0
28,5.7,285.5625,-0.100917935,0.018968465,-1.0
29,12.2,285.5625,-0.083335765,0.017582167,-1.0
30,6.7,285.5625,-0.06717587,0.01615989,-1.0
31,6.7,285.5625,-0.052465387,0.014710486,-1.0
32,7.4,285.5625,-0.039224,0.013241389,-1.0
33,6.2,285.5625,-0.027465321,0.011758678,-1.0
34,6.8,285.5625,-0.017198162,0.010267159,-1.0
35,6.4,285.5625,-0.008427676,0.008770486,-1.0
36,6.9,285.5625,-0.0011563912,0.007271285,-1.0
37,6.0,285.5625,0.0046149087,0.0057713,-1.0
38,0.0,285.5625,0.007886449,0.0032715397,-1.0
39,7.2,285.5625,0.008658688,0.0007722393,-1.0
40,5.7,285.5625,0.0069317706,-0.0017269173,-1.0
41,6.2,285.5625,0.0027053936,-0.004226377,-1.0
42,5.7,285.5625,-0.004020901,-0.0067262943,-1.0
43,6.2,285.5625,-0.013247013,-0.009226113,-1.0
44,6.2,285.578125,-0.023971152,-0.0107241385,-1.0
45,6.0,285.578125,-0.037188828,-0.013217677,-1.0
46,7.0,285.578125,-0.053890962,-0.016702134,-1.0
47,7.1,285.578125,-0.0730605,-0.019169534,-1.0
48,5.9,285.578125,-0.09467022,-0.021609722,-1.0
49,6.9,285.578125,-0.11867979,-0.02400957,-1.0
50,5.5,285.578125,-0.14503257,-0.026352782,-1.0
51,6.0,285.578125,-0.17365243,-0.028619854,-1.0
52,7.6,285.578125,-0.20444064,-0.030788213,-1.0
53,8.8,285.578125,-0.2382732,-0.033832565,-1.0
54,9.7,285.59375,-0.2749938,-0.036720593,-1.0
55,10.2,285.59375,-0.3144108,-0.039417017,-1.0
56,7.7,285.59375,-0.35629576,-0.041884955,-1.0
57,9.4,285.59375,-0.40038347,-0.044087704,-1.0
58,7.4,285.59375,-0.4463744,-0.045990918,-1.0
59,7.7,285.59375,-0.4939393,-0.047564935,-1.0
60,8.1,285.59375,-0.5427264,-0.048787087,-1.0
61,6.2,285.59375,-0.5923701,-0.049643707,-1.0
62,6.2,285.59375,-0.6425017,-0.050131574,-1.0
63,6.8,285.59375,-0.6927603,-0.050258595,-1.0
64,5.7,285.59375,-0.74280393,-0.050043643,-1.0
65,6.4,285.59375,-0.7923195,-0.049515564,-1.0
66,5.3,285.59375,-0.84103096,-0.048711475,-1.0
67,6.0,285.59375,-0.88870555,-0.047674604,-1.0
68,5.2,285.59375,-0.9351575,-0.046451915,-1.0
69,6.2,285.59375,-0.9802493,-0.04509181,-1.0
70,6.7,285.59375,-1.0238913,-0.043642066,-1.0
71,6.4,285.59375,-1.0660396,-0.042148173,-1.0
72,6.7,285.59375,-1.1066917,-0.040652167,-1.0
73,16.0,285.59375,-1.1458836,-0.039191883,-1.0
74,8.0,285.59375,-1.1836842,-0.037800647,-1.0
75,9.7,285.59375,-1.2,0.0,-1.0
76,7.8,285.59375,-1.1987581,0.0012418961,-1.0
77,7.6,285.59375,-1.1962702,0.0024878983,-1.0
78,4.8,285.59375,-1.1925281,0.0037420325,-1.0
79,7.7,285.59375,-1.18752,0.0050081615,-1.0
80,0.0,285.59375,-1.1812301,0.0062898966,-1.0
81,6.6,285.59375,-1.1736397,0.007590502,-1.0
82,7.9,285.59375,-1.1647269,0.008912788,-1.0
83,6.0,285.59375,-1.1544678,0.010258993,-1.0
84,6.4,285.59375,-1.1428372,0.011630654,-1.0
85,6.7,285.640625,-1.1298087,0.013028455,-1.0
86,5.8,285.640625,-1.1153567,0.01445207,-1.0
87,5.5,285.640625,-1.0994567,0.015899988,-1.0
88,6.5,285.640625,-1.0820873,0.017369328,-1.0
89,6.2,285.640625,-1.0632317,0.018855644,-1.0
90,5.4,285.640625,-1.042879,0.020352753,-1.0
91,7.8,285.640625,-1.0210264,0.021852544,-1.0
92,6.7,285.640625,-0.99768156,0.023344843,-1.0
93,6.2,285.65625,-0.9728643,0.02481731,-1.0
94,0.0,285.65625,-0.94660884,0.026255406,-1.0
95,6.5,285.65625,-0.9189664,0.027642438,-1.0
96,0.0,285.65625,-0.89000666,0.028959721,-1.0
97,6.6,285.65625,-0.8598198,0.03018686,-1.0
98,11.7,285.65625,-0.8285177,0.03130216,-1.0
99,6.2,285.65625,-0.7962345,0.032283194,-1.0
100,9.0,285.65625,-0.76312697,0.033107486,-1.0
101,5.9,285.65625,-0.7293737,0.033753287,-1.0
102,6.4,285.65625,-0.69517326,0.034200426,-1.0
103,5.9,285.65625,-0.6607421,0.03443116,-1.0
104,6.9,285.65625,-0.6263111,0.034430962,-1.0
105,6.5,285.65625,-0.59212196,0.034189172,-1.0
106,5.6,285.65625,-0.5584225,0.033699483,-1.0
107,6.1,285.65625,-0.5254623,0.032960188,-1.0
108,0.0,285.65625,-0.49348813,0.031974163,-1.0
109,6.5,285.65625,-0.4627395,0.030748641,-1.0
110,0.0,285.65625,-0.43344477,0.029294727,-1.0
111,7.0,285.65625,-0.405818,0.027626786,-1.0
112,0.0,285.65625,-0.3800563,0.025761697,-1.0
113,6.2,285.65625,-0.3563382,0.023718094,-1.0
114,7.5,285.65625,-0.33482257,0.021515623,-1.0
115,6.0,285.671875,-0.3156483,0.01917428,-1.0
116,5.8,285.671875,-0.29893443,0.016713865,-1.0
117,5.4,285.671875,-0.28478083,0.014153589,-1.0
118,5.5,285.671875,-0.27326903,0.011511803,-1.0
119,5.7,285.671875,-0.26446313,0.008805897,-1.0
120,5.2,285.671875,-0.25841084,0.006052313,-1.0
121,6.9,285.671875,-0.25514415,0.0032666668,-1.0
122,7.4,285.671875,-0.2546802,0.00046395988,-1.0
123,5.8,285.671875,-0.25702137,-0.0023411564,-1.0
124,5.3,285.671875,-0.26215544,-0.00513408,-1.0
125,6.5,285.671875,-0.27005538,-0.007899958,-1.0
126,5.9,285.671875,-0.2806788,-0.010623403,-1.0
127,5.4,285.671875,-0.29396707,-0.013288265,-1.0
128,6.5,285.671875,-0.30984455,-0.015877478,-1.0
129,5.5,285.671875,-0.32821754,-0.018372996,-1.0
130,0.0,285.671875,-0.34897342,-0.020755878,-1.0
131,6.1,285.671875,-0.3719799,-0.023006478,-1.0
132,13.5,285.671875,-0.3970847,-0.025104811,-1.0
133,5.7,285.671875,-0.42411575,-0.027031051,-1.0
134,6.2,285.671875,-0.4528819,-0.028766146,-1.0
135,5.9,285.671875,-0.48317444,-0.030292554,-1.0
136,5.4,285.671875,-0.51476943,-0.03159499,-1.0
137,5.5,285.671875,-0.54743063,-0.032661203,-1.0
138,6.7,285.671875,-0.58091325,-0.03348262,-1.0
139,5.7,285.671875,-0.6149681,-0.034054875,-1.0
140,5.7,285.671875,-0.6493463,-0.034378152,-1.0
141,6.5,285.671875,-0.68380356,-0.03445726,-1.0
142,6.2,285.671875,-0.718105,-0.03430145,-1.0
143,5.4,285.671875,-0.75202906,-0.03392404,-1.0
144,6.0,285.6875,-0.7853708,-0.03334179,-1.0
145,5.7,285.6875,-0.817945,-0.03257417,-1.0
146,5.7,285.6875,-0.8495875,-0.031642493,-1.0
147,6.9,285.6875,-0.8801566,-0.030569086,-1.0
148,6.2,285.6875,-0.9095331,-0.029376475,-1.0
149,6.0,285.6875,-0.93761975,-0.028086668,-1.0
150,8.4,285.6875,-0.96434027,-0.026720537,-1.0
151,6.7,285.6875,-0.9896376,-0.025297375,-1.0
152,11.3,285.6875,-1.0134722,-0.023834556,-1.0
153,6.5,285.6875,-1.0358195,-0.02234734,-1.0
154,0.0,285.6875,-1.0566683,-0.020848798,-1.0
155,6.4,285.6875,-1.0760181,-0.019349806,-1.0
156,5.0,285.6875,-1.0938773,-0.017859144,-1.0
157,7.1,285.6875,-1.1102608,-0.016383618,-1.0
158,0.0,285.6875,-1.1251891,-0.014928226,-1.0
159,6.3,285.6875,-1.1386855,-0.013496345,-1.0
160,5.0,285.6875,-1.1507754,-0.012089917,-1.0
161,7.0,285.6875,-1.1614851,-0.010709644,-1.0
162,5.9,285.6875,-1.1708401,-0.009355153,-1.0
163,5.7,285.6875,-1.1788653,-0.008025175,-1.0
164,5.8,285.6875,-1.185583,-0.0067176865,-1.0
165,6.6,285.6875,-1.1910131,-0.005430054,-1.0
166,4.2,285.8125,-1.1951722,-0.0041591492,-1.0
167,6.1,285.8125,-1.1980737,-0.002901466,-1.0
168,5.7,285.8125,-1.1997269,-0.0016532145,-1.0
169,6.3,285.8125,-1.2,0.0,-1.0
170,5.5,285.8125,-1.1987581,0.0012418961,-1.0
171,6.8,285.8125,-1.1962702,0.0024878983,-1.0
172,4.6,285.8125,-1.1925281,0.0037420325,-1.0
