step,cpu,ram,position,velocity,reward
0,0.0,413.34375,-0.43266448,0.04069136,-1.0
1,5.4,413.703125,-0.3916467,0.041017782,-1.0
2,5.0,413.703125,-0.35159293,0.04005379,-1.0
3,17.5,413.734375,-0.31377268,0.037820235,-1.0
4,0.0,413.734375,-0.27842426,0.03534843,-1.0
5,3.2,413.734375,-0.24475327,0.03367099,-1.0
6,3.0,413.734375,-0.2119381,0.032815173,-1.0
7,2.5,413.484375,-0.1801344,0.0318037,-1.0
8,3.5,413.484375,-0.15047444,0.02965995,-1.0
9,2.0,413.484375,-0.12206407,0.02841038,-1.0
10,2.5,413.484375,-0.09598793,0.026076136,-1.0
11,3.7,413.484375,-0.073308855,0.022679077,-1.0
12,3.2,413.484375,-0.052069563,0.021239294,-1.0
13,7.9,413.609375,-0.03229983,0.019769732,-1.0
14,8.0,413.46875,-0.014018371,0.01828146,-1.0
15,3.2,413.484375,0.0027652998,0.016783671,-1.0
16,4.5,413.484375,0.016049057,0.013283757,-1.0
17,3.5,413.5,0.02583571,0.009786653,-1.0
18,0.0,413.5,0.03212987,0.006294159,-1.0
19,5.2,413.5,0.034935635,0.0028057639,-1.0
20,0.0,413.5,0.035255115,0.0003194819,-1.0
21,4.3,413.5,0.033088565,-0.0021665483,-1.0
22,0.0,413.5,0.027434325,-0.0056542414,-1.0
23,2.9,413.578125,0.018288547,-0.009145779,-1.0
24,1.9,413.578125,0.00664653,-0.011642017,-1.0
25,2.7,413.59375,-0.0064949905,-0.01314152,-1.0
26,0.0,413.59375,-0.021136036,-0.014641046,-1.0
27,5.1,413.59375,-0.03727206,-0.016136022,-1.0
28,1.5,413.59375,-0.054892465,-0.017620409,-1.0
29,2.9,413.59375,-0.07497905,-0.020086586,-1.0
30,3.3,413.59375,-0.09650266,-0.021523608,-1.0
31,3.5,413.59375,-0.11942223,-0.02291957,-1.0
32,0.0,413.59375,-0.14568307,-0.026260834,-1.0
33,3.4,413.59375,-0.17520891,-0.029525844,-1.0
34,16.0,348.671875,-0.20589727,-0.03068837,-1.0
35,8.8,320.84375,-0.2386237,-0.032726415,-1.0
36,10.9,320.609375,-0.2742364,-0.035612717,-1.0
37,4.7,320.609375,-0.31154972,-0.037313312,-1.0
38,14.9,318.546875,-0.35134828,-0.039798565,-1.0
39,5.0,318.5625,-0.392382,-0.04103371,-1.0
