step,cpu,ram,cos(theta),sin(theta),theta_dot,reward
0,9.4,363.140625,0.9255469,0.37863305,0.52082515,-0.13544742965104367
1,8.6,363.5625,0.9156964,0.4018708,0.5047999,-0.18191748451999246
2,9.7,363.5625,0.9052328,0.424916,0.506203,-0.20051329386877834
3,13.6,363.5625,0.87991476,0.4751316,1.12489,-0.2222302275772766
4,10.7,363.578125,0.8503346,0.5262424,1.1812388,-0.3756752220917535
5,10.8,363.59375,0.8150554,0.5793831,1.2759205,-0.450643005039296
6,0.0,363.578125,0.7722035,0.6353753,1.4104578,-0.5486861565351184
7,12.0,363.59375,0.71940994,0.69458574,1.5869893,-0.6769637215539059
8,9.0,363.578125,0.63077843,0.775963,2.4079287,-0.8454377670052213
9,8.2,363.578125,0.49519646,0.86878103,3.2899008,-1.3727829085088143
10,9.7,363.578125,0.3012341,0.9535502,4.2414865,-2.194596531561134
11,13.0,363.53125,0.07308892,0.9973254,4.656649,-3.4027644650890183
12,8.7,363.53125,-0.2104918,0.9775956,5.7046432,-4.415370318109238
13,11.0,363.65625,-0.49598604,0.8683305,6.1378403,-6.436936473442364
14,9.0,363.65625,-0.7665326,0.6422054,7.089088,-8.138431419365505
15,8.5,363.65625,-0.9541962,0.29918155,7.870742,-11.003731784920069
16,9.5,363.65625,-0.9953797,-0.09601703,8.0,-14.251727465449743
17,8.5,363.671875,-0.88811696,-0.45961758,7.6279874,-15.678628472243771
18,9.8,363.671875,-0.6549134,-0.7557039,7.583274,-12.919664671535894
19,8.8,363.671875,-0.36928847,-0.9293148,6.716496,-10.975209878662591
20,8.7,363.671875,-0.062227543,-0.998062,6.31951,-8.31388737876226
21,9.0,363.6875,0.19992405,-0.9798114,5.2709637,-6.664519036715406
22,11.2,363.765625,0.42872918,-0.9034331,4.836105,-4.657879511247797
23,17.2,363.78125,0.6178553,-0.78629184,4.45853,-3.6145224990776046
24,12.8,363.796875,0.74760777,-0.6641405,3.5688114,-2.8104835253230873
25,12.5,363.8125,0.8484173,-0.529328,3.3707058,-1.8052164476601802
26,8.2,363.8125,0.9114001,-0.41152146,2.6737099,-1.45131594600561
27,9.0,363.8125,0.95799494,-0.2867852,2.6650689,-0.8987526325966443
28,9.7,363.8125,0.9882618,-0.1527698,2.74998,-0.7988641735939279
29,10.9,363.796875,0.99997824,-0.00660019,2.9354026,-0.7837614387511292
30,0.0,363.796875,0.9880235,0.15430342,3.2304525,-0.8657024022874379
31,8.8,363.796875,0.9436743,0.3308757,3.64618,-1.0715832499088547
32,8.3,363.796875,0.8693315,0.49422944,3.5943367,-1.4471878760155357
33,9.5,363.796875,0.7647142,0.6443696,3.6650088,-1.563161157798887
34,12.7,363.796875,0.6273794,0.7787137,3.8482862,-1.837507170258999
35,9.7,363.796875,0.45428306,0.8908574,4.1323214,-2.281688492831775
36,8.7,363.796875,0.24405399,0.96976167,4.5004644,-2.9199124797585836
37,8.7,363.796875,-0.029840788,0.9995547,5.527786,-3.7830620519506613
38,0.0,363.796875,-0.32282975,0.946457,5.977452,-5.621694777536347
39,9.4,363.8125,-0.6273009,0.778777,6.9872947,-7.185146744730822
40,8.7,363.828125,-0.863239,0.50479543,7.271377,-9.94368444141091
41,8.6,363.828125,-0.99134713,0.13126634,7.9499736,-12.116175640288988
42,9.5,363.828125,-0.9642087,-0.26514447,8.0,-15.383985546572879
43,9.5,363.828125,-0.8000542,-0.5999278,7.5011415,-14.659501845458166
44,0.0,363.609375,-0.5310385,-0.8473477,7.351196,-11.871625064843009
45,10.6,363.609375,-0.20752232,-0.9782303,7.015685,-9.947558277724752
46,9.2,356.328125,0.119770944,-0.99280155,6.582012,-8.093806237613627
47,10.2,356.328125,0.41407806,-0.91024137,6.137411,-6.440926992939286
48,10.7,353.890625,0.6324145,-0.7746302,5.1547303,-5.0792124294346195
49,12.9,353.5625,0.80063486,-0.59915257,4.8737574,-3.4463508569590453
50,9.2,353.5625,0.9063542,-0.4225188,4.124393,-2.792083258074205
51,8.3,353.5625,0.9734729,-0.22880249,4.107504,-1.8953519859905297
52,11.2,353.5625,0.9998185,-0.019051105,4.2359023,-1.7444494344291397
53,10.4,353.5625,0.97864604,0.2055527,4.5216136,-1.7986496923841044
54,4.7,353.5625,0.9107014,0.41306528,4.375778,-2.0913599286106583
55,8.6,353.5625,0.7990419,0.6012753,4.385577,-2.100064031191449
56,8.4,353.5625,0.6201026,0.78452075,5.1365337,-2.343477962067459
57,8.0,353.5625,0.38723177,0.9219824,5.4249244,-3.4558628780799565
58,9.7,353.5625,0.10660369,0.9943016,5.816411,-4.323306237599661
59,9.2,353.5625,-0.23410727,0.97221076,6.8621373,-5.530329694078139
60,0.0,353.5625,-0.5653562,0.82484686,7.2912955,-7.978490880290338
61,9.8,353.5625,-0.841938,0.5395742,8.0,-10.036411843572028
62,0.0,353.5625,-0.98559636,0.16911466,8.0,-13.017441969940409
63,10.3,353.5625,-0.97365075,-0.22804439,8.0,-15.234771029853263
64,12.7,353.5625,-0.80798703,-0.58920026,8.0,-14.880971899441272
65,10.0,353.5625,-0.5462014,-0.8376539,7.2581,-12.711752713610453
66,10.3,353.5625,-0.22927201,-0.9733624,6.929859,-9.888564864932166
67,9.5,353.578125,0.06361919,-0.9979743,5.8998375,-8.053953318935788
68,13.0,353.59375,0.32993057,-0.9440052,5.451357,-5.756261689508269
69,12.1,353.59375,0.52982795,-0.84810513,4.443353,-4.499883158208405
70,11.9,350.875,0.6696678,-0.74266076,3.5072742,-3.003289617252559
71,9.5,350.875,0.78100616,-0.6245233,3.2502785,-1.9347246828885636
72,10.7,350.9375,0.86760706,-0.4972504,3.081886,-1.5154096663689427
73,9.5,350.9375,0.9210691,-0.38939926,2.4089482,-1.2246461439376424
74,9.5,350.9375,0.9612943,-0.2755236,2.4168987,-0.744286621657644
75,10.4,350.9375,0.9882234,-0.15301803,2.510256,-0.6660559865744774
76,10.1,350.9375,0.9998224,-0.018845795,2.6954925,-0.6577381662672878
77,9.0,350.9375,0.9915332,0.12985328,2.9813583,-0.730923254230552
78,10.1,350.9375,0.9555849,0.29471612,3.3787482,-0.9098072272498008
79,7.9,350.9375,0.8942034,0.4476608,3.2997854,-1.23508972098737
80,9.5,350.9375,0.78942525,0.6138467,3.935531,-1.3082913814131638
81,8.2,350.9375,0.6249569,0.78065926,4.695916,-1.9896612016449684
82,0.0,350.9375,0.4132369,0.91062355,4.9814105,-3.011477042475011
83,9.0,350.9375,0.12743938,0.9918464,5.964378,-3.795990372400375
84,14.1,350.9375,-0.19143724,0.98150486,6.4082627,-5.643656883559945
85,8.5,350.9375,-0.5097084,0.8603472,6.8443913,-7.220242544724755
86,8.2,350.9375,-0.7982164,0.6023708,7.789652,-9.122298460444108
87,8.0,350.9375,-0.96906155,0.24681906,7.94143,-12.297515300513547
88,0.0,350.9375,-0.9886807,-0.15003493,8.0,-14.67543029253501
89,10.0,350.9375,-0.86281854,-0.5055137,7.587474,-15.35001544339665
90,11.8,349.375,-0.6406942,-0.76779616,6.9083385,-12.581510601989468
91,11.4,349.375,-0.3558071,-0.9345594,6.6324916,-9.912169363687331
92,9.5,349.375,-0.05217524,-0.998638,6.2315717,-8.145570194876703
93,27.5,216.484375,0.20545708,-0.9786661,5.1825933,-6.521362358044424
94,13.6,186.921875,0.40260455,-0.915374,4.148594,-4.550056757959467
95,8.7,184.265625,0.5417045,-0.840569,3.1620634,-3.0624270335240946
96,11.5,179.4375,0.63193345,-0.7750226,2.2316365,-2.0005326789833173
97,8.5,179.640625,0.70439035,-0.7098128,1.9503695,-1.2883473511482828
98,30.0,178.890625,0.7429483,-0.66934884,1.1180099,-1.0072819856299637
99,8.3,178.890625,0.7534308,-0.65752727,0.3159983,-0.6667703701745513
100,8.5,178.890625,0.737531,-0.6753133,-0.47714716,-0.5288377228699493
101,15.2,178.5625,0.7140214,-0.7001239,-0.68363214,-0.5764251822142431
102,12.3,177.046875,0.65922606,-0.7519448,-1.508725,-0.6522456715970714
103,12.1,177.046875,0.5900775,-0.8073466,-1.7726836,-0.9558384773236346
104,10.8,177.046875,0.5031546,-0.8641964,-2.0781937,-1.2011667630719158
105,11.5,177.828125,0.36713603,-0.93016726,-3.026341,-1.5248877867735913
106,0.0,176.421875,0.1738421,-0.9847735,-4.0239663,-2.3475838469467547
107,9.1,176.4375,-0.078317195,-0.9969285,-5.0625467,-3.572232125549545
108,8.5,176.46875,-0.34656778,-0.93802494,-5.510243,-5.286777903948822
109,11.4,176.484375,-0.6048661,-0.7963272,-5.9137616,-6.744770623761957
110,0.0,176.5,-0.81927645,-0.5733987,-6.211007,-8.431407213253003
111,11.5,174.03125,-0.9654594,-0.2605535,-6.941056,-10.26734017638127
112,11.5,174.03125,-0.994149,0.108016916,-7.436471,-13.104693557723648
113,10.9,174.03125,-0.8818613,0.47150886,-7.6554585,-14.735410945361812
114,0.0,174.03125,-0.64399123,0.7650328,-7.6018267,-12.890240520253977
115,12.2,174.03125,-0.35536206,0.93472874,-6.728052,-10.937948742789144
116,12.5,174.03125,-0.046933852,0.998898,-6.3270054,-8.271402524775025
117,12.8,174.03125,0.21524285,0.97656053,-5.277832,-6.624206732313432
118,12.0,174.046875,0.44324106,0.8964025,-4.845412,-4.622476760887879
119,10.1,174.046875,0.6310194,0.775767,-4.4731097,-3.5874231858430154
120,9.2,174.0625,0.77859944,0.6275213,-4.1912847,-2.7932904056078414
121,10.8,174.0625,0.8882232,0.45941222,-4.0206437,-2.220866409403026
122,11.3,174.0625,0.9614609,0.27494174,-3.9760845,-1.8484046327538635
