step,cpu,ram,cos(theta),sin(theta),theta_dot,reward
0,9.3,499.53125,0.8161622,-0.57782286,-0.06713579,-0.38099059317930273
1,6.9,499.59375,0.80591094,-0.5920367,-0.35050294,-0.38097894786789116
2,6.5,499.625,0.78641653,-0.6176966,-0.6445305,-0.4147136224927217
3,25.3,499.640625,0.7559446,-0.65463555,-0.9578029,-0.48584530242837637
4,13.4,499.640625,0.7118698,-0.7023115,-1.2987796,-0.6021069592428689
5,8.5,499.640625,0.6506053,-0.75941604,-1.6755133,-0.7759621883321328
6,6.7,499.640625,0.5676326,-0.82328194,-2.0950754,-1.0254942291941573
7,5.9,499.640625,0.4577836,-0.88906366,-2.5625367,-1.3753496060541868
8,6.5,499.65625,0.32312894,-0.9463549,-2.9293344,-1.8603320746087926
9,5.6,499.671875,0.1613702,-0.98689395,-3.3391006,-2.404073904382319
10,9.1,499.671875,-0.026881428,-0.9996386,-3.7792711,-3.1034441491719895
11,5.2,499.671875,-0.2360847,-0.9717325,-4.229,-3.9848735883124693
12,7.1,499.671875,-0.46064755,-0.88758314,-4.8077993,-5.06239916151215
13,5.3,499.671875,-0.6778976,-0.73515636,-5.323487,-6.513029787492676
14,6.0,499.671875,-0.86171585,-0.5073912,-5.874854,-8.196395972732079
15,5.5,499.671875,-0.97603154,-0.21762916,-6.2553973,-10.260557846835587
16,6.1,499.6875,-0.9948486,0.10137178,-6.418619,-12.452298768582246
17,6.0,499.6875,-0.9136281,0.4065509,-6.3425903,-13.361749862984402
18,6.3,499.703125,-0.746467,0.66542244,-6.1876774,-11.438122022262819
19,6.2,499.703125,-0.5360966,0.8441567,-5.5386105,-9.654876883158028
20,7.4,499.71875,-0.30080014,0.9536872,-5.205493,-7.636690990123877
21,5.6,499.71875,-0.06597222,0.99782145,-4.7902274,-6.2343220355992575
22,8.5,499.65625,0.13565338,0.99075633,-4.0418615,-4.9737962874196455
23,6.4,499.6875,0.31077912,0.9504822,-3.5987942,-3.6960957341210987
24,6.2,499.6875,0.45761344,0.8891512,-3.1859326,-2.873614148483839
25,6.4,499.6875,0.5779894,0.8160443,-2.8190691,-2.219108596074606
26,5.9,499.6875,0.6754793,0.73737895,-2.507036,-1.7098495293803304
27,0.0,499.25,0.7391548,0.6735356,-1.8040018,-1.3170654275942166
28,11.4,499.25,0.7905809,0.61235756,-1.5988501,-0.8755362318729253
29,6.7,499.25,0.8325727,0.55391574,-1.4395819,-0.6939648527286898
