step,cpu,ram,cos(theta),sin(theta),theta_dot,reward
0,13.2,180.90625,0.58063924,-0.81416094,0.64747834,-1.1224508414349308
1,10.9,181.453125,0.58285886,-0.8125734,0.054578383,-0.9468754916577977
2,20.7,182.75,0.5565356,-0.8308238,-0.640649,-0.9003792583986032
3,17.7,182.796875,0.49523824,-0.8687572,-1.4420214,-1.0040046160653398
4,0.0,182.8125,0.40124375,-0.91597134,-2.1046956,-1.3160985144919248
5,8.4,182.8125,0.28040928,-0.95988053,-2.573076,-1.7858816430159747
6,6.5,182.96875,0.10510854,-0.99446076,-3.5783489,-2.320968603355765
7,6.9,183.0,-0.12028495,-0.9927394,-4.517599,-3.429791038532983
8,6.5,183.0625,-0.3797084,-0.9251062,-5.378083,-4.90221095164675
9,6.9,183.0625,-0.63978577,-0.7685533,-6.094768,-6.735088477442083
10,7.4,183.078125,-0.85598373,-0.51700276,-6.6646223,-8.844918431015236
11,8.0,183.109375,-0.9825759,-0.18586168,-7.127939,-11.192860268883695
12,8.7,183.109375,-0.9855555,0.16935249,-7.1424274,-13.8113658673501
13,7.2,183.125,-0.86071616,0.5090852,-7.27898,-13.933851611634926
14,25.1,184.25,-0.6401338,0.76826346,-6.840047,-12.09740470128033
15,24.2,184.25,-0.3645415,0.93118715,-6.4306397,-9.812208895394763
16,19.3,184.265625,-0.08112807,0.9967037,-5.8384614,-7.914704252582504
17,22.8,184.28125,0.16594595,0.9861348,-4.95869,-6.1386892668967965
18,36.1,171.921875,0.3651062,0.9309659,-4.1405935,-4.430572918629269
19,34.6,155.265625,0.52723986,0.8497165,-3.632043,-3.1489779326198524
20,20.5,154.78125,0.64338166,0.7655456,-2.8711677,-2.350985572487408
21,13.7,154.828125,0.73632556,0.6766274,-2.5743256,-1.5879687324678757
22,13.6,154.90625,0.80685306,0.5907521,-2.2236385,-1.2161132852559624
23,8.9,154.90625,0.86321163,0.5048422,-2.0558317,-0.8972365519179106
24,6.7,154.921875,0.9018788,0.43198922,-1.6500379,-0.7027289088275026
25,6.5,154.921875,0.92911404,0.36979336,-1.358213,-0.47184692615260576
26,0.0,154.921875,0.94766927,0.31925374,-1.0768936,-0.327954217019594
27,7.2,154.921875,0.96378845,0.26666805,-1.1001536,-0.22462441491104937
28,0.0,154.921875,0.97313803,0.23022242,-0.75256014,-0.1948664459395057
29,9.6,154.921875,0.98167735,0.19055085,-0.8116598,-0.11298822789163078
30,16.1,145.28125,0.98689485,0.16136476,-0.59299725,-0.10289198830983788
31,14.1,145.171875,0.9908034,0.13530935,-0.5269539,-0.06156670059745083
32,11.7,145.171875,0.99474543,0.102379054,-0.6633387,-0.04870419689114466
33,8.8,143.65625,0.9965108,0.08346368,-0.37995714,-0.05641711940453381
34,7.8,142.5,0.99721116,0.0746318,-0.17719278,-0.02229235050053289
35,6.4,142.53125,0.99704576,0.0768099,0.043687366,-0.009928631395109331
36,7.2,143.078125,0.9977104,0.067630574,-0.1840678,-0.009721449399561164
37,11.4,142.953125,0.99837524,0.05698195,-0.21338801,-0.008253731746267881
38,0.0,142.921875,0.99849325,0.054874785,-0.042209383,-0.008537124442470491
39,9.6,142.921875,0.9984734,0.055234633,0.007207875,-0.0031954660296003978
40,7.7,142.921875,0.99850976,0.054573707,-0.013238506,-0.0032293095144798815
41,7.8,142.953125,0.9986027,0.052846033,-0.034603424,-0.0031712519545862047
42,12.6,142.953125,0.9989076,0.04672835,-0.122505754,-0.003637964345936114
43,14.4,142.953125,0.99931544,0.03699593,-0.19482,-0.004198175110310154
44,5.4,142.953125,0.9991017,0.042377457,0.10771557,-0.008520753371713053
45,8.5,142.953125,0.9993079,0.037199482,-0.10364172,-0.00558462270295918
46,5.8,142.953125,0.9994032,0.034543972,-0.05314443,-0.0024812966299771417
47,7.3,142.953125,0.99954164,0.030273972,-0.08544494,-0.001626781853263738
48,6.2,142.953125,0.999767,0.021585615,-0.17382613,-0.0021953326643424356
49,10.2,142.96875,0.9999529,0.009703003,-0.23768272,-0.003772333492924369
50,17.0,142.96875,0.99989504,-0.014486795,-0.48380914,-0.008597388712957031
51,8.0,143.34375,0.9996517,-0.026392283,-0.23816094,-0.026541414476448692
52,7.8,143.34375,0.99930114,-0.03738035,-0.21987422,-0.0064332289156349655
53,7.5,143.375,0.99928635,-0.037772413,-0.007846836,-0.008793745395362842
54,5.8,143.375,0.99952143,-0.030934658,0.13683614,-0.0027639581885192657
55,9.1,143.375,0.9995365,-0.030441813,0.0098615475,-0.003308291673279881
56,7.0,143.375,0.9998319,-0.01833482,0.24221337,-0.003830869078996312
57,8.8,143.390625,0.9999894,-0.0046119955,0.27447674,-0.006297038701953643
58,6.4,143.390625,0.9999983,0.001860887,0.129458,-0.00844564748025389
59,9.9,143.390625,0.9998252,0.018696718,0.33673838,-0.0035633344551348504
